TRADE_CODE,ISIN,EMITENT_FULL_NAME,ISSUE_AMOUNT,LIST_SECTION,INSTRUMENT_TYPE,INSTRUMENT_CATEGORY
SVET,RU000A100592,"Публичное акционерное общество ""Светофор Групп""",22333500,Третий уровень,Акция обыкновенная,акции обыкновенные
MFGS,RU0009011126,"Публичное акционерное общество ""Славнефть - Мегионнефтегаз""",99474705,Третий уровень,Акция обыкновенная,акции обыкновенные
MFGSP,RU0009011134,"Публичное акционерное общество ""Славнефть - Мегионнефтегаз""",33056875,Третий уровень,Акция привилегированная,акции привилегированные
JNOS,RU0009100895,"Публичное акционерное общество ""Славнефть-Ярославнефтеоргсинтез""",932654723,Третий уровень,Акция обыкновенная,акции обыкновенные
JNOSP,RU0009101927,"Публичное акционерное общество ""Славнефть-Ярославнефтеоргсинтез""",310884574,Третий уровень,Акция привилегированная,акции привилегированные
CARM,RU000A105NV2,"Публичное акционерное общество ""СмартТехГрупп""",2203330301,Третий уровень,Акция обыкновенная,акции обыкновенные
STSB,RU000A0ET1W4,"Публичное акционерное общество ""Ставропольэнергосбыт""",859074636,Третий уровень,Акция обыкновенная,акции обыкновенные
STSBP,RU000A0ET1Z7,"Публичное акционерное общество ""Ставропольэнергосбыт""",262100364,Третий уровень,Акция привилегированная,акции привилегированные
VRSB,RU000A0DPG67,"Публичное акционерное общество ""ТНС энерго Воронеж""",56151024,Третий уровень,Акция обыкновенная,акции обыкновенные
VRSBP,RU000A0DPG75,"Публичное акционерное общество ""ТНС энерго Воронеж""",18716678,Третий уровень,Акция привилегированная,акции привилегированные
KBSB,RU000A0JNJ11,"Публичное акционерное общество ""ТНС энерго Кубань""",17869440,Третий уровень,Акция обыкновенная,акции обыкновенные
MISB,RU000A0D8K33,"Публичное акционерное общество ""ТНС энерго Марий Эл""",121847780,Третий уровень,Акция обыкновенная,акции обыкновенные
MISBP,RU000A0D8K41,"Публичное акционерное общество ""ТНС энерго Марий Эл""",10652220,Третий уровень,Акция привилегированная,акции привилегированные
NNSB,RU000A0ET5A1,"Публичное акционерное общество ""ТНС энерго Нижний Новгород""",3919400,Третий уровень,Акция обыкновенная,акции обыкновенные
NNSBP,RU000A0ET5B9,"Публичное акционерное общество ""ТНС энерго Нижний Новгород""",1063512,Третий уровень,Акция привилегированная,акции привилегированные
RTSB,RU000A0D8PB4,"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""",8128764676,Третий уровень,Акция обыкновенная,акции обыкновенные
RTSBP,RU000A0D8PC2,"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""",925737256,Третий уровень,Акция привилегированная,акции привилегированные
YRSB,RU000A0D8760,"Публичное акционерное общество ""ТНС энерго Ярославль""",17143584,Третий уровень,Акция обыкновенная,акции обыкновенные
